5S_rRNA__chr2	5S_rRNA__chr2|RNA5SP100__chr2
CTD-3162L10.1__chr19	CTD-3162L10.1__chr19|CTD-3220F14.1__chr19
CTRB1__chr16	CTRB1__chr16|CTRB2__chr16
CU459202.1__chr22	CU459202.1__chr22|CU463998.3__chr22
CU463998.1__chr22	CU463998.1__chr22|CU463998.2__chr22
CXCL1__chr4	CXCL1__chr4|CXCL2__chr4
CXorf49B__chrX	CXorf49B__chrX|CXorf49__chrX
CXorf51A__chrX	CXorf51A__chrX|CXorf51B__chrX
AC007192.4__chr19	AC007192.4__chr19|PIK3R2__chr19
CYP11B1__chr8	CYP11B1__chr8|CYP11B2__chr8
CYP2A13__chr19	CYP2A13__chr19|CYP2A6__chr19|CYP2A7__chr19
CYP2D6__chr22	CYP2D6__chr22|CYP2D7__chr22
CYP3A7-CYP3A51P__chr7	CYP3A7-CYP3A51P__chr7|CYP3A7__chr7
CYP4A11__chr1	CYP4A11__chr1|CYP4A22__chr1
DAZ1__chrY	DAZ1__chrY|DAZ2__chrY|DAZ3__chrY|DAZ4__chrY
DDX19A__chr16	DDX19A__chr16|RP11-529K1.3__chr16
DEFA1B__chr8	DEFA1B__chr8|DEFA1__chr8|DEFA3__chr8
DEFB103A__chr8	DEFB103A__chr8|DEFB103B__chr8
DEFB104A__chr8	DEFB104A__chr8|DEFB104B__chr8
AC007241.1__chrY	AC007241.1__chrY|AC068704.1__chrY
DEFB105A__chr8	DEFB105A__chr8|DEFB105B__chr8
DEFB106A__chr8	DEFB106A__chr8|DEFB106B__chr8
DEFB107A__chr8	DEFB107A__chr8|DEFB107B__chr8
DEFB130__chr8	DEFB130__chr8|RP11-1236K1.1__chr8
DEFB4A__chr8	DEFB4A__chr8|DEFB4B__chr8
DMRTC1B__chrX	DMRTC1B__chrX|DMRTC1__chrX
EIF3CL__chr16	EIF3CL__chr16|EIF3C__chr16
ERVV-1__chr19	ERVV-1__chr19|ERVV-2__chr19
F8A1__chrX	F8A1__chrX|F8A2__chrX|F8A3__chrX
FAM127A__chrX	FAM127A__chrX|FAM127B__chrX
ABHD14A-ACY1__chr3	ABHD14A-ACY1__chr3|ACY1__chr3
AC007333.1__chr16	AC007333.1__chr16|AC130462.1__chr16
FAM153A__chr5	FAM153A__chr5|FAM153B__chr5
FAM156A__chrX	FAM156A__chrX|FAM156B__chrX
FAM188B__chr7	FAM188B__chr7|INMT-FAM188B__chr7
FAM209A__chr20	FAM209A__chr20|FAM209B__chr20
FAM21A__chr10	FAM21A__chr10|FAM21C__chr10
FAM223A__chrX	FAM223A__chrX|FAM223B__chrX
FAM224A__chrY	FAM224A__chrY|FAM224B__chrY
FAM225A__chr9	FAM225A__chr9|FAM225B__chr9
FAM231D__chr1	FAM231D__chr1|RP11-403I13.7__chr1
FAM25A__chr10	FAM25A__chr10|FAM25C__chr10|FAM25G__chr10
AC007359.6__chrY	AC007359.6__chrY|AC008175.1__chrY
FAM41AY1__chrY	FAM41AY1__chrY|FAM41AY2__chrY
FAM72A__chr1	FAM72A__chr1|FAM72B__chr1|FAM72C__chr1|FAM72D__chr1
FAM74A1__chr9	FAM74A1__chr9|FAM74A7__chr9
FCGR3A__chr1	FCGR3A__chr1|FCGR3B__chr1
FFAR3__chr19	FFAR3__chr19|GPR42__chr19
FGF11__chr17	FGF11__chr17|RP11-104H15.10__chr17
FO538757.1__chr1	FO538757.1__chr1|MIR1302-2__chr1
FOXD4L3__chr9	FOXD4L3__chr9|FOXD4L4__chr9|FOXD4L5__chr9|FOXD4L6__chr9|FOXD4__chr9
FP236383.10__chr21	FP236383.10__chr21|FP236383.3__chr21|FP671120.4__chr21
FP236383.11__chr21	FP236383.11__chr21|FP236383.1__chr21|FP671120.1__chr21|MIR3687-1__chr21|MIR3687-2__chr21
AC007365.2__chr2	AC007365.2__chr2|AC010887.1__chr2|AC019330.2__chr2|AC067957.1__chr2|AC073215.1__chr2
FP236383.12__chr21	FP236383.12__chr21|FP236383.4__chr21|FP671120.7__chr21
FP236383.2__chr21	FP236383.2__chr21|FP671120.3__chr21
FP236383.5__chr21	FP236383.5__chr21|FP236383.6__chr21|MIR3648-1__chr21|MIR3648-2__chr21
FP236383.7__chr21	FP236383.7__chr21|FP236383.8__chr21|FP671120.2__chr21|FP671120.5__chr21
FP236383.9__chr21	FP236383.9__chr21|FP671120.6__chr21
GAGE10__chrX	GAGE10__chrX|GAGE12C__chrX|GAGE12D__chrX|GAGE12E__chrX|GAGE12F__chrX|GAGE12G__chrX|GAGE12H__chrX|GAGE12J__chrX|GAGE13__chrX|GAGE2A__chrX|GAGE2E__chrX
GALNT4__chr12	GALNT4__chr12|POC1B-GALNT4__chr12
AC007381.1__chr2	AC007381.1__chr2|AC009406.1__chr2|AC009406.2__chr2|AC016743.1__chr2|AC074289.2__chr2|AC097483.1__chr2
AC007389.4__chr2	AC007389.4__chr2|AC118063.1__chr2|AC125238.1__chr2|AL121652.3__chr2
AC007486.1__chrX	AC007486.1__chrX|AC079172.1__chrX|AC112778.1__chrX|AL049791.1__chrX|AL590763.1__chrX|MIR548AJ2__chrX|Z97356.1__chrX
AC007952.4__chr17	AC007952.4__chr17|RP11-160E2.16__chr17|RP11-160E2.17__chr17
AC007952.5__chr17	AC007952.5__chr17|AC007952.6__chr17|RP11-744A16.4__chr17
AC008041.1__chr3	AC008041.1__chr3|AC023049.1__chr3
AC008079.9__chr22	AC008079.9__chr22|AC008132.15__chr22|FAM230A__chr22
AC002395.1__chr12	AC002395.1__chr12|AC002979.1__chr12
AC008391.1__chr5	AC008391.1__chr5|AC008547.1__chr5|AC008869.1__chr5|AC024571.1__chr5|AC035144.1__chr5|AC093270.1__chr5|AC106753.1__chr5|AC143336.1__chr5
AC008410.1__chr5	AC008410.1__chr5|AC008967.1__chr5|AC010368.1__chr5|AC016575.1__chr5|AC034236.1__chr5|AC091866.1__chr5
AC008514.1__chr5	AC008514.1__chr5|AC022101.1__chr5|AC026799.1__chr5
AC008740.1__chr16	AC008740.1__chr16|AC009060.1__chr16|AC025279.1__chr16|AC092289.2__chr16|AC092375.1__chr16|AC106782.1__chr16|AC106788.1__chr16|AC133552.1__chr16|AC133555.1__chr16|AC138304.1__chr16
AC008753.1__chr19	AC008753.1__chr19|MIR7975__chr19
AC008810.1__chr5	AC008810.1__chr5|AC109486.1__chr5
AC008938.1__chr16	AC008938.1__chr16|AC027348.1__chr16
AC009035.1__chr16	AC009035.1__chr16|AC012175.1__chr16|MIR548H2__chr16
AC009065.3__chr16	AC009065.3__chr16|AC126755.1__chr16|AC138969.1__chr16|AC139256.1__chr16|MIR6770-1__chr16|MIR6770-2__chr16|MIR6770-3__chr16
AC009305.2__chr2	AC009305.2__chr2|AC013406.1__chr2|AC016712.3__chr2|AC017076.1__chr2
AC002464.1__chr6	AC002464.1__chr6|AL136303.2__chr6
AC009478.2__chr2	AC009478.2__chr2|AC016670.1__chr2|AC016730.2__chr2|AC069303.1__chr2|AC073255.1__chr2|AC093162.1__chr2|AC096649.4__chr2|AC104802.1__chr2|MIR548AD__chr2
AC009758.1__chr11	AC009758.1__chr11|OR52B4__chr11
AC009987.1__chr10	AC009987.1__chr10|AL512640.1__chr10
AC010092.1__chr2	AC010092.1__chr2|AC017104.1__chr2
AC010329.1__chr19	AC010329.1__chr19|AC011477.1__chr19|AC078899.2__chr19|MIR1270__chr19
AC010891.2__chrY	AC010891.2__chrY|LINC00280__chrY
AC010930.1__chr11	AC010930.1__chr11|AC087653.1__chr11|AC116533.1__chr11|AP000807.1__chr11|AP001001.1__chr11|AP002958.1__chr11
AC011453.1__chr19	AC011453.1__chr19|AC011498.1__chr19|AC027319.3__chr19|AC092309.1__chr19
AC011453.2__chr19	AC011453.2__chr19|AC011453.4__chr19|MIR519A1__chr19|MIR519B__chr19|MIR519C__chr19|MIR522__chr19
AC011453.3__chr19	AC011453.3__chr19|MIR518C__chr19
AC002530.1__chr7	AC002530.1__chr7|AC004915.1__chr7|AC005024.1__chr7|AC006478.1__chr7
AC011718.2__chr22	AC011718.2__chr22|FAM230B__chr22|KB-1183D5.13__chr22
AC011738.1__chr7	AC011738.1__chr7|AC068533.1__chr7
AC007179.2__chr2	AC007179.2__chr2|AC011748.1__chr2|AC092786.1__chr2|AC122136.1__chr2
AC012360.1__chr2	AC012360.1__chr2|AC068706.2__chr2
AC012414.1__chr15	AC012414.1__chr15|AC068446.1__chr15
AC013269.4__chr2	AC013269.4__chr2|AC140481.4__chr2
AC013269.5__chr2	AC013269.5__chr2|TISP43__chr2
AC013271.3__chr2	AC013271.3__chr2|RP13-1039J1.2__chr2
AC013402.1__chr2	AC013402.1__chr2|AC019046.1__chr2|AC079354.1__chr2|AC110769.1__chr2
AC013444.2__chr2	AC013444.2__chr2|AC068715.1__chr2|AC096589.1__chr2
AC002981.1__chrX	AC002981.1__chrX|AC078993.1__chrX|AL136137.1__chrX|AL591668.1__chrX
AC013738.1__chr10	AC013738.1__chr10|AL139340.1__chr10
AC015884.1__chr17	AC015884.1__chr17|AC068014.1__chr17|AC104996.1__chr17|AC116407.1__chr17|AC139530.1__chr17
AC016142.1__chr3	AC016142.1__chr3|AC055733.1__chr3
AC016543.1__chr14	AC016543.1__chr14|AL049831.1__chr14|AL121819.1__chr14
AC016576.1__chr5	AC016576.1__chr5|AC126917.1__chr5
AC016907.1__chr2	AC016907.1__chr2|AC017083.1__chr2|AC078851.2__chr2|AC106874.2__chr2
AC017002.4__chr2	AC017002.4__chr2|RP11-223J6.2__chr2
AC017028.11__chr2	AC017028.11__chr2|AC017028.1__chr2|AC017028.2__chr2|AC017028.3__chr2|AC017028.4__chr2|AC017028.5__chr2|AC017028.8__chr2|AC017028.9__chr2|MIR4440__chr2
AC017028.6__chr2	AC017028.6__chr2|AC017028.7__chr2|MIR4441__chr2
AC018755.18__chr19	AC018755.18__chr19|SIGLEC5__chr19
AC003006.1__chr19	AC003006.1__chr19|AC006115.1__chr19|AC006116.1__chr19|AC006130.1__chr19|AC007773.1__chr19|AC008752.1__chr19|AC011450.1__chr19|AC020915.1__chr19
AC018804.1__chr2	AC018804.1__chr2|MIR4784__chr2
AC021052.1__chr12	AC021052.1__chr12|AC084357.2__chr12
AC010455.1__chr5	AC010455.1__chr5|AC021087.1__chr5|AC091849.1__chr5|AC132803.1__chr5
AC021654.1__chr3	AC021654.1__chr3|AC026877.1__chr3|AC063944.1__chr3|AC068312.1__chr3|AC098650.1__chr3|AC099535.1__chr3|AC104441.1__chr3|AC108739.1__chr3|AC112219.1__chr3|AC117507.1__chr3|AC128653.1__chr3|AC134729.1__chr3
AC022405.1__chr15	AC022405.1__chr15|AC066615.1__chr15
AC022681.1__chr8	AC022681.1__chr8|AC105081.1__chr8
AC022716.1__chr8	AC022716.1__chr8|AC046176.1__chr8|AC068570.1__chr8|AC090573.1__chr8|MIR548H4__chr8
AC023158.1__chr12	AC023158.1__chr12|MIR548C__chr12
AC023798.1__chr3	AC023798.1__chr3|AC078816.1__chr3
AC024569.1__chr5	AC024569.1__chr5|AC074129.1__chr5
5S_rRNA__chr1	5S_rRNA__chr1
5S_rRNA__chr11	5S_rRNA__chr11
5S_rRNA__chr17	5S_rRNA__chr17
5S_rRNA__chr20	5S_rRNA__chr20
5S_rRNA__chr4	5S_rRNA__chr4
5S_rRNA__chr6	5S_rRNA__chr6
5S_rRNA__chr8	5S_rRNA__chr8
5S_rRNA__chrX	5S_rRNA__chrX
5_8S_rRNA__chr20	5_8S_rRNA__chr20
5_8S_rRNA__chr22	5_8S_rRNA__chr22
7SK__chr1	7SK__chr1
7SK__chr11	7SK__chr11
7SK__chr17	7SK__chr17
7SK__chr3	7SK__chr3
A1BG-AS1__chr19	A1BG-AS1__chr19
A1BG__chr19	A1BG__chr19
A1CF__chr10	A1CF__chr10
A2M-AS1__chr12	A2M-AS1__chr12
A2ML1-AS1__chr12	A2ML1-AS1__chr12
A2ML1-AS2__chr12	A2ML1-AS2__chr12
A2ML1__chr12	A2ML1__chr12
A2M__chr12	A2M__chr12
A3GALT2__chr1	A3GALT2__chr1
A4GALT__chr22	A4GALT__chr22
A4GNT__chr3	A4GNT__chr3
AA06__chr17	AA06__chr17
AAAS__chr12	AAAS__chr12
AACS__chr12	AACS__chr12
AADACL2-AS1__chr3	AADACL2-AS1__chr3
AADACL2__chr3	AADACL2__chr3
AADACL3__chr1	AADACL3__chr1
AADACL4__chr1	AADACL4__chr1
AADAC__chr3	AADAC__chr3
AADAT__chr4	AADAT__chr4
AAED1__chr9	AAED1__chr9
AAGAB__chr15	AAGAB__chr15
AAK1__chr2	AAK1__chr2
AAMDC__chr11	AAMDC__chr11
AAMP__chr2	AAMP__chr2
AANAT__chr17	AANAT__chr17
AAR2__chr20	AAR2__chr20
AARD__chr8	AARD__chr8
AARS2__chr6	AARS2__chr6
AARSD1__chr17	AARSD1__chr17
AARS__chr16	AARS__chr16
AASDHPPT__chr11	AASDHPPT__chr11
AASDH__chr4	AASDH__chr4
AASS__chr7	AASS__chr7
AATBC__chr21	AATBC__chr21
AATF__chr17	AATF__chr17
AATK-AS1__chr17	AATK-AS1__chr17
AATK__chr17	AATK__chr17
AB015752.3__chr8	AB015752.3__chr8
AB019440.50__chr14	AB019440.50__chr14
ABALON__chr20	ABALON__chr20
ABAT__chr16	ABAT__chr16
ABC11-4932300O16.1__chr10	ABC11-4932300O16.1__chr10
ABC12-49244600F4.4__chr12	ABC12-49244600F4.4__chr12
ABC7-481722F1.2__chr7	ABC7-481722F1.2__chr7
ABCA10__chr17	ABCA10__chr17
ABCA12__chr2	ABCA12__chr2
ABCA13__chr7	ABCA13__chr7
ABCA1__chr9	ABCA1__chr9
ABCA2__chr9	ABCA2__chr9
ABCA3__chr16	ABCA3__chr16
ABCA4__chr1	ABCA4__chr1
ABCA5__chr17	ABCA5__chr17
ABCA6__chr17	ABCA6__chr17
ABCA7__chr19	ABCA7__chr19
ABCA8__chr17	ABCA8__chr17
ABCA9-AS1__chr17	ABCA9-AS1__chr17
ABCA9__chr17	ABCA9__chr17
ABCB10__chr1	ABCB10__chr1
ABCB11__chr2	ABCB11__chr2
ABCB1__chr7	ABCB1__chr7
ABCB4__chr7	ABCB4__chr7
ABCB5__chr7	ABCB5__chr7
ABCB6__chr2	ABCB6__chr2
ABCB7__chrX	ABCB7__chrX
ABCB8__chr7	ABCB8__chr7
ABCB9__chr12	ABCB9__chr12
ABCC10__chr6	ABCC10__chr6
ABCC11__chr16	ABCC11__chr16
ABCC12__chr16	ABCC12__chr16
ABCC1__chr16	ABCC1__chr16
ABCC2__chr10	ABCC2__chr10
ABCC3__chr17	ABCC3__chr17
ABCC4__chr13	ABCC4__chr13
ABCC5-AS1__chr3	ABCC5-AS1__chr3
ABCC5__chr3	ABCC5__chr3
ABCC6__chr16	ABCC6__chr16
ABCC8__chr11	ABCC8__chr11
ABCC9__chr12	ABCC9__chr12
ABCD1__chrX	ABCD1__chrX
ABCD2__chr12	ABCD2__chr12
ABCD3__chr1	ABCD3__chr1
ABCD4__chr14	ABCD4__chr14
ABCE1__chr4	ABCE1__chr4
ABCF1__chr6	ABCF1__chr6
ABCF2__chr7	ABCF2__chr7
ABCF3__chr3	ABCF3__chr3
ABCG1__chr21	ABCG1__chr21
ABCG2__chr4	ABCG2__chr4
ABCG4__chr11	ABCG4__chr11
ABCG5__chr2	ABCG5__chr2
ABCG8__chr2	ABCG8__chr2
ABHD10__chr3	ABHD10__chr3
ABHD11-AS1__chr7	ABHD11-AS1__chr7
ABHD11__chr7	ABHD11__chr7
ABHD12B__chr14	ABHD12B__chr14
ABHD12__chr20	ABHD12__chr20
ABHD13__chr13	ABHD13__chr13
ABHD14A__chr3	ABHD14A__chr3
ABHD14B__chr3	ABHD14B__chr3
ABHD15-AS1__chr17	ABHD15-AS1__chr17
ABHD15__chr17	ABHD15__chr17
ABHD16A__chr6	ABHD16A__chr6
ABHD16B__chr20	ABHD16B__chr20
ABHD17A__chr19	ABHD17A__chr19
ABHD17B__chr9	ABHD17B__chr9
ABHD17C__chr15	ABHD17C__chr15
ABHD18__chr4	ABHD18__chr4
ABHD1__chr2	ABHD1__chr2
ABHD2__chr15	ABHD2__chr15
ABHD3__chr18	ABHD3__chr18
ABHD4__chr14	ABHD4__chr14
ABHD5__chr3	ABHD5__chr3
ABHD6__chr3	ABHD6__chr3
ABHD8__chr19	ABHD8__chr19
ABI1__chr10	ABI1__chr10
ABI2__chr2	ABI2__chr2
ABI3BP__chr3	ABI3BP__chr3
ABI3__chr17	ABI3__chr17
ABL1__chr9	ABL1__chr9
ABL2__chr1	ABL2__chr1
ABLIM1__chr10	ABLIM1__chr10
ABLIM2__chr4	ABLIM2__chr4
ABLIM3__chr5	ABLIM3__chr5
ABO__chr9	ABO__chr9
ABRACL__chr6	ABRACL__chr6
ABRA__chr8	ABRA__chr8
ABR__chr17	ABR__chr17
ABT1__chr6	ABT1__chr6
ABTB1__chr3	ABTB1__chr3
ABTB2__chr11	ABTB2__chr11
AC000003.1__chr17	AC000003.1__chr17
AC000029.1__chr22	AC000029.1__chr22
AC000032.2__chr1	AC000032.2__chr1
AC000035.3__chr22	AC000035.3__chr22
AC000036.4__chr22	AC000036.4__chr22
AC000067.1__chr22	AC000067.1__chr22
AC000068.10__chr22	AC000068.10__chr22
AC000068.5__chr22	AC000068.5__chr22
AC000068.9__chr22	AC000068.9__chr22
AC000095.11__chr22	AC000095.11__chr22
AC000099.1__chr7	AC000099.1__chr7
AC000111.3__chr7	AC000111.3__chr7
AC000111.6__chr7	AC000111.6__chr7
AC000120.7__chr7	AC000120.7__chr7
AC000123.2__chr7	AC000123.2__chr7
AC000123.3__chr7	AC000123.3__chr7
AC000123.4__chr7	AC000123.4__chr7
AC000124.1__chr7	AC000124.1__chr7
AC000354.1__chr7	AC000354.1__chr7
AC000370.2__chr7	AC000370.2__chr7
AC000403.1__chr13	AC000403.1__chr13
AC000403.4__chr13	AC000403.4__chr13
AC001226.7__chr13	AC001226.7__chr13
AC002044.1__chr16	AC002044.1__chr16
AC002044.3__chr16	AC002044.3__chr16
AC002044.4__chr16	AC002044.4__chr16
AC002056.5__chr22	AC002056.5__chr22
AC002059.10__chr22	AC002059.10__chr22
AC002064.4__chr7	AC002064.4__chr7
AC002064.5__chr7	AC002064.5__chr7
AC002064.7__chr7	AC002064.7__chr7
AC002066.1__chr7	AC002066.1__chr7
AC002070.1__chr12	AC002070.1__chr12
AC002072.1__chrX	AC002072.1__chrX
AC002076.10__chr7	AC002076.10__chr7
AC002115.5__chr19	AC002115.5__chr19
AC002115.9__chr19	AC002115.9__chr19
AC002116.7__chr19	AC002116.7__chr19
AC002116.8__chr19	AC002116.8__chr19
AC002117.1__chr17	AC002117.1__chr17
AC002127.4__chr7	AC002127.4__chr7
AC002128.5__chr19	AC002128.5__chr19
AC002306.1__chr19	AC002306.1__chr19
AC002310.11__chr16	AC002310.11__chr16
AC002310.12__chr16	AC002310.12__chr16
AC002310.13__chr16	AC002310.13__chr16
AC002310.14__chr16	AC002310.14__chr16
AC002310.7__chr16	AC002310.7__chr16
AC002331.1__chr16	AC002331.1__chr16
AC002366.1__chrX	AC002366.1__chrX
AC002368.4__chrX	AC002368.4__chrX
AC002383.2__chr7	AC002383.2__chr7
AC002386.1__chr7	AC002386.1__chr7
AC002389.1__chr19	AC002389.1__chr19
AC002398.11__chr19	AC002398.11__chr19
AC002398.12__chr19	AC002398.12__chr19
AC002398.13__chr19	AC002398.13__chr19
AC002398.9__chr19	AC002398.9__chr19
AC002401.1__chr17	AC002401.1__chr17
AC002429.1__chr7	AC002429.1__chr7
AC002429.5__chr7	AC002429.5__chr7
AC002451.3__chr7	AC002451.3__chr7
AC002454.1__chr7	AC002454.1__chr7
AC002456.2__chr7	AC002456.2__chr7
AC002463.3__chr7	AC002463.3__chr7
AC002465.2__chr7	AC002465.2__chr7
AC002467.7__chr7	AC002467.7__chr7
AC002472.11__chr22	AC002472.11__chr22
AC002480.2__chr7	AC002480.2__chr7
AC002480.3__chr7	AC002480.3__chr7
AC002480.4__chr7	AC002480.4__chr7
AC002480.5__chr7	AC002480.5__chr7
AC002511.2__chr19	AC002511.2__chr19
AC002511.3__chr19	AC002511.3__chr19
AC002519.8__chr16	AC002519.8__chr16
AC002539.1__chr17	AC002539.1__chr17
AC002539.2__chr17	AC002539.2__chr17
AC002550.5__chr16	AC002550.5__chr16
AC002550.6__chr16	AC002550.6__chr16
AC002551.1__chr16	AC002551.1__chr16
AC002558.1__chr17	AC002558.1__chr17
AC002978.1__chr12	AC002978.1__chr12
AC002985.3__chr19	AC002985.3__chr19
AC003001.1__chrX	AC003001.1__chrX
AC003002.4__chr19	AC003002.4__chr19
AC003002.6__chr19	AC003002.6__chr19
AC003003.5__chr16	AC003003.5__chr16
AC003005.2__chr19	AC003005.2__chr19
AC003005.4__chr19	AC003005.4__chr19
AC003006.7__chr19	AC003006.7__chr19
AC003009.1__chr16	AC003009.1__chr16
AC003075.4__chr7	AC003075.4__chr7
AC003084.2__chr7	AC003084.2__chr7
AC003088.1__chr7	AC003088.1__chr7
AC003090.1__chr7	AC003090.1__chr7
AC003092.1__chr7	AC003092.1__chr7
AC003092.2__chr7	AC003092.2__chr7
AC003101.1__chr17	AC003101.1__chr17
AC003104.1__chr17	AC003104.1__chr17
AC003658.1__chrX	AC003658.1__chrX
AC003664.1__chr17	AC003664.1__chr17
AC003681.1__chr22	AC003681.1__chr22
AC003682.16__chr19	AC003682.16__chr19
AC003688.1__chr17	AC003688.1__chr17
AC003956.1__chr19	AC003956.1__chr19
AC003958.2__chr17	AC003958.2__chr17
AC003968.1__chr7	AC003968.1__chr7
AC003973.3__chr19	AC003973.3__chr19
AC003973.4__chr19	AC003973.4__chr19
AC003973.5__chr19	AC003973.5__chr19
AC003984.1__chr7	AC003984.1__chr7
AC003985.1__chr7	AC003985.1__chr7
AC003986.5__chr7	AC003986.5__chr7
AC003986.6__chr7	AC003986.6__chr7
AC003986.7__chr7	AC003986.7__chr7
AC003988.1__chr7	AC003988.1__chr7
AC003991.3__chr7	AC003991.3__chr7
AC004000.1__chrX	AC004000.1__chrX
AC004000.2__chrX	AC004000.2__chrX
AC004009.1__chr7	AC004009.1__chr7
AC004009.2__chr7	AC004009.2__chr7
AC004009.3__chr7	AC004009.3__chr7
AC004012.1__chr7	AC004012.1__chr7
AC004014.3__chr7	AC004014.3__chr7
AC004016.1__chr7	AC004016.1__chr7
AC004019.13__chr22	AC004019.13__chr22
AC004051.2__chr4	AC004051.2__chr4
AC004052.1__chr4	AC004052.1__chr4
AC004053.1__chr4	AC004053.1__chr4
AC004053.2__chr4	AC004053.2__chr4
AC004054.1__chr4	AC004054.1__chr4
AC004063.1__chr4	AC004063.1__chr4
AC004066.3__chr4	AC004066.3__chr4
AC004067.5__chr4	AC004067.5__chr4
AC004069.2__chr4	AC004069.2__chr4
AC004076.5__chr19	AC004076.5__chr19
AC004076.7__chr19	AC004076.7__chr19
AC004076.9__chr19	AC004076.9__chr19
AC004079.1__chr7	AC004079.1__chr7
AC004108.1__chr17	AC004108.1__chr17
AC004112.4__chr7	AC004112.4__chr7
AC004125.3__chr16	AC004125.3__chr16
AC004156.3__chr19	AC004156.3__chr19
AC004158.3__chr16	AC004158.3__chr16
AC004160.4__chr7	AC004160.4__chr7
AC004221.2__chr19	AC004221.2__chr19
AC004231.2__chr17	AC004231.2__chr17
AC004237.1__chr5	AC004237.1__chr5
AC004257.1__chr19	AC004257.1__chr19
AC004381.6__chr16	AC004381.6__chr16
AC004381.7__chr16	AC004381.7__chr16
AC004448.2__chr17	AC004448.2__chr17
AC004448.5__chr17	AC004448.5__chr17
AC004449.6__chr19	AC004449.6__chr19
AC004453.1__chr7	AC004453.1__chr7
AC004458.1__chr7	AC004458.1__chr7
AC004470.1__chrX	AC004470.1__chrX
AC004471.10__chr22	AC004471.10__chr22
AC004471.9__chr22	AC004471.9__chr22
AC004477.1__chr17	AC004477.1__chr17
AC004485.3__chr7	AC004485.3__chr7
AC004490.1__chr19	AC004490.1__chr19
AC004492.1__chr7	AC004492.1__chr7
AC004510.3__chr19	AC004510.3__chr19
AC004535.2__chr7	AC004535.2__chr7
AC004538.3__chr7	AC004538.3__chr7
AC004540.4__chr7	AC004540.4__chr7
AC004540.5__chr7	AC004540.5__chr7
AC004541.1__chr7	AC004541.1__chr7
AC004543.1__chr7	AC004543.1__chr7
AC004543.2__chr7	AC004543.2__chr7
AC004549.6__chr7	AC004549.6__chr7
AC004593.3__chr7	AC004593.3__chr7
AC004603.4__chr19	AC004603.4__chr19
AC004623.2__chr19	AC004623.2__chr19
AC004623.3__chr19	AC004623.3__chr19
AC004637.1__chr19	AC004637.1__chr19
AC004655.1__chrX	AC004655.1__chrX
AC004673.1__chrX	AC004673.1__chrX
AC004691.1__chr7	AC004691.1__chr7
AC004691.5__chr7	AC004691.5__chr7
AC004692.4__chr7	AC004692.4__chr7
AC004699.1__chr19	AC004699.1__chr19
AC004702.2__chr17	AC004702.2__chr17
AC004744.3__chr7	AC004744.3__chr7
AC004745.1__chr7	AC004745.1__chr7
AC004754.3__chr16	AC004754.3__chr16
AC004769.1__chr5	AC004769.1__chr5
AC004775.5__chr5	AC004775.5__chr5
AC004791.2__chr19	AC004791.2__chr19
AC004812.1__chr12	AC004812.1__chr12
AC004813.1__chr12	AC004813.1__chr12
AC004816.1__chr14	AC004816.1__chr14
AC004819.1__chr22	AC004819.1__chr22
AC004824.1__chr1	AC004824.1__chr1
AC004824.2__chr1	AC004824.2__chr1
AC004837.4__chr7	AC004837.4__chr7
AC004837.5__chr7	AC004837.5__chr7
AC004840.8__chr7	AC004840.8__chr7
AC004846.1__chr14	AC004846.1__chr14
AC004850.1__chr7	AC004850.1__chr7
AC004854.4__chr7	AC004854.4__chr7
AC004862.6__chr7	AC004862.6__chr7
AC004869.2__chr7	AC004869.2__chr7
AC004869.3__chr7	AC004869.3__chr7
AC004870.3__chr7	AC004870.3__chr7
AC004870.4__chr7	AC004870.4__chr7
AC004875.1__chr7	AC004875.1__chr7
AC004878.2__chr7	AC004878.2__chr7
AC004878.8__chr7	AC004878.8__chr7
AC004893.11__chr7	AC004893.11__chr7
AC004895.1__chr7	AC004895.1__chr7
AC004895.4__chr7	AC004895.4__chr7
AC004901.1__chr7	AC004901.1__chr7
AC004906.3__chr7	AC004906.3__chr7
AC004920.3__chr7	AC004920.3__chr7
AC004941.3__chr7	AC004941.3__chr7
AC004943.1__chr16	AC004943.1__chr16
AC004946.1__chr7	AC004946.1__chr7
AC004947.2__chr7	AC004947.2__chr7
AC004951.6__chr7	AC004951.6__chr7
AC004953.1__chr7	AC004953.1__chr7
AC004969.1__chr7	AC004969.1__chr7
AC004980.1__chr7	AC004980.1__chr7
AC004984.1__chr7	AC004984.1__chr7
AC004988.1__chr7	AC004988.1__chr7
AC005000.1__chrX	AC005000.1__chrX
AC005008.2__chr7	AC005008.2__chr7
AC005009.1__chr7	AC005009.1__chr7
AC005009.2__chr7	AC005009.2__chr7
AC005013.5__chr7	AC005013.5__chr7
AC005019.3__chr7	AC005019.3__chr7
AC005020.1__chr7	AC005020.1__chr7
AC005027.3__chr7	AC005027.3__chr7
AC005037.1__chr2	AC005037.1__chr2
AC005037.3__chr2	AC005037.3__chr2
AC005042.1__chr2	AC005042.1__chr2
AC005042.4__chr2	AC005042.4__chr2
AC005042.5__chr2	AC005042.5__chr2
AC005048.1__chr7	AC005048.1__chr7
AC005052.1__chrX	AC005052.1__chrX
AC005062.2__chr7	AC005062.2__chr7
AC005071.1__chr7	AC005071.1__chr7
AC005076.5__chr7	AC005076.5__chr7
AC005082.12__chr7	AC005082.12__chr7
AC005082.1__chr7	AC005082.1__chr7
AC005083.1__chr7	AC005083.1__chr7
